review_decision,issue_types,name,period,current_page_birthday,current_page_month_day,current_page_debut,current_page_join_year,current_page_join_days,existing_check,existing_page_birthday,existing_reference_birthday,existing_reference_source,existing_reference_page,existing_reference_url,official_sid,official_period,official_month_day,source_urls,notes
,existing_unreviewed_mismatch,兰昊,BEJ48二期生,1996-02-27,02.27,2017-03-11,21,12,,1996-02-27,1996-11-27,AKB48 Wiki,,https://akb48.fandom.com/wiki/Lan_Hao,,,,https://akb48.fandom.com/wiki/Lan_Hao,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,张宸祎,BEJ48九期生,1999-01-05,01.05,2020-11-22,21,321,,1999-01-05,1998-01-05,AKB48 Wiki,,https://akb48.fandom.com/wiki/Zhang_ChenYi,,,,https://akb48.fandom.com/wiki/Zhang_ChenYi,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,朱一柠,BEJ48十二期生,2000-11-20,11.20,2023-05-02,22,163,,2000-11-20,2002-11-20,AKB48 Wiki,,https://akb48.fandom.com/wiki/Zhu_YiNing,,,,https://akb48.fandom.com/wiki/Zhu_YiNing,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,张韩紫陌,BEJ48一期生,2000-01-31,01.31,2016-07-16,16,167,,2000-01-31,2000-01-13,AKB48 Wiki,,https://akb48.fandom.com/wiki/Zhang_HanZiMo,,,,https://akb48.fandom.com/wiki/Zhang_HanZiMo,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,张咏琪,CGT48二期生,2006-03-30,03.30,2023-12-15,17,260,,2006-03-30,2006-03-03,AKB48 Wiki,,https://akb48.fandom.com/wiki/Zhang_YongQi,,,,https://akb48.fandom.com/wiki/Zhang_YongQi,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,耿钰嘉,CGT48四期生,2007-02-21,02.21,2025-05-02,18,70,,2007-02-21,2008-02-21,AKB48 Wiki,,https://akb48.fandom.com/wiki/Geng_YuJia,,,,https://akb48.fandom.com/wiki/Geng_YuJia,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,胡琪涵,CGT48四期生,2008-08-17,08.17,2025-05-02,16,258,,2008-08-17,2009-08-17,AKB48 Wiki,,https://akb48.fandom.com/wiki/Hu_QiHan,,,,https://akb48.fandom.com/wiki/Hu_QiHan,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,李怡淳,CGT48四期生,2004-05-06,05.06,2025-05-02,20,361,,2004-05-06,2005-05-06,AKB48 Wiki,,https://akb48.fandom.com/wiki/Li_YiChun,,,,https://akb48.fandom.com/wiki/Li_YiChun,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,魏小燕,CKG48二期生,1999-02-21,02.21,2018-04-07,19,45,,1999-02-21,1997-02-21,AKB48 Wiki,,https://akb48.fandom.com/wiki/Wei_XiaoYan,,,,https://akb48.fandom.com/wiki/Wei_XiaoYan,insufficient_explicit_birthday_evidence
,existing_unreviewed_mismatch,王振楠,CKG48九期生,2004-10-30,10.30,2025-12-31,21,62,,2004-10-30,2004-10-03,AKB48 Wiki,,https://akb48.fandom.com/wiki/Wang_ZhenNan,,,,https://akb48.fandom.com/wiki/Wang_ZhenNan,insufficient_explicit_birthday_evidence
