status,name,period,current_page_birthday,existing_reference_birthday,official_month_day,original_issue_types,explicit_birthday_date_hits,birthday_word_hits_without_candidate_date,candidate_date_hits_without_birthday_word
insufficient_explicit_birthday_evidence,兰昊,BEJ48二期生,1996-02-27,1996-11-27,,existing_unreviewed_mismatch,,bilibili_readlist_449360_md/145_BEJ48 TeamJ拼盘公演《因为喜欢你》大事年表（不完全统计）_cv16577630.md:75 12月17日： / 兰昊生日公演。 / 12月23日： | bilibili_readlist_449360_md/023_BEJ48（第一次分队时期）大事年表（不完全统计）_cv20640204.md:1507 12月17日： / TeamJ《因为喜欢你》兰昊生日公演。 / 12月20日： | bilibili_readlist_449360_md/244_BEJ48（第一次分队时期）历年生日公演视频汇总（TeamJ篇）_cv19447717.md:57 [20171125 BEJ48 TeamJ《因为喜欢你》许婉玉生日公演](https://www.bilibili.com/video/BV15x41157T5?share_source=copy_web&vd_source=f046264ddbe13426757c3bbec9cf75fe) / [20171217 BEJ48 TeamJ《因为喜欢你》兰昊生日公演](https://www.bilibili.com/video/BV1XW411b7z6?share_sourc,bilibili_readlist_449366_md/039_SNH48 Group成立至今各成员生日一览（10月份-12月份，持续更新中）_cv14452681.md:147 [reference] 11月26日：沈之琳（SⅡ）、栾嘉仪（现艺名金汐，NⅡ）、刘小末（G） / 11月27日：毛译晗（C→CKG）、兰昊（J→IDOLS FT） / 11月28日：刘倩倩（NⅢ→NⅢ兼SⅡ→**荣誉毕业生**）、易妍倩（E）、**吕思琪**（GNZ预备生→暂休→IDOLS FT→GNZ预备生→NⅢ）、方诗涵（HⅢ）、**张雁婷**（CGT预备生）
insufficient_explicit_birthday_evidence,张宸祎,BEJ48九期生,1999-01-05,1998-01-05,,existing_unreviewed_mismatch,,bilibili_readlist_449360_md/378_SNH48 Group 2025年度获得今日之星（公演单场MVP）成员一览_cv41478208.md:645 11月16日（**王佳琪生日公演**）：王佳琪。 / 11月29日：张宸祎。 / 12月13日（**包楹生日公演**）：包楹。 | bilibili_readlist_449360_md/026_BEJ48（第二次分队时期）大事年表（2025年—2026年，不完全统计）_cv40184582.md:177 TeamB全员参加在王府井喜悦购物中心举行的喜悦共脑大会快闪路演。 / TeamB《B A Fighter》2.0 张宸祎生日公演。 / 4月11日： | bilibili_readlist_449360_md/025_BEJ48（第二次分队时期）大事年表（2023年—2024年，不完全统计）_cv26581253.md:293 TeamE《双面偶像》李歆乐生日公演。 / TeamB成员张宸祎（代役）《双面偶像》公演首演。 / **TeamSⅡ成员段艺璇与BEJ48成员（周湘、孙晓艳、黄宣绮、黄怡慈、陈蓁蓁、张宸祎、张梦慧、马欣宇、郑照暄、庄雅雯、李歆乐、吴睿莎、郭晓盈、王思奕、朱虹蓉）参与录制的直播节目“航天之夜”在央视频app和央视网同步播出。** | bilibili_readlist_449360_md/025_BEJ48（第二次分队时期）大事年表（2023年—2024年，不完全统计）_cv26581253.md:457 3月31日： / TeamB《B A Fighter》张宸祎生日公演。 / ### **4月份** | bilibili_readlist_449360_md/025_BEJ48（第二次分队时期）大事年表（2023年—2024年，不完全统计）_cv26581253.md:941 11月30日： / TeamB成员（黄怡慈、黄宣绮、陈蓁蓁、吴睿莎、王祉依、张宸祎、朱一柠、张梦慧）受邀参加在北京市朝阳区北辰荟B1层举办的快闪活动。 / TeamE《双面偶像》2.0 孙嘉馥生日公演。,bilibili_readlist_449360_md/025_BEJ48（第二次分队时期）大事年表（2023年—2024年，不完全统计）_cv26581253.md:237 [current;reference] 1月1日： / TeamB《B A Fighter》公演&精彩前座曲（张宸祎参与表演）。 / 1月5日： | bilibili_readlist_449366_md/036_SNH48 Group成立至今各成员生日一览（1月份-3月份，持续更新中）_cv14439154.md:31 [current;reference] 1月4日：**李家敏**（GNZ预备生） / 1月5日：张宸祎（BEJ→B）、郑照暄（BEJ→B→B兼任NⅡ） / 1月6日：门秀天（GNZ预备生）
accepted_update_applied,宁轲,BEJ48七期生,1999-05-02,1999-05-02,,existing_unreviewed_mismatch,bilibili_readlist_449360_md/379_SNH48 Group 2026年度获得今日之星（公演单场MVP）成员一览_cv44354518.md:61 [current;reference] 4月25日：李婷。 / 5月2日（**宁轲生日公演**）：宁轲。 / 5月10日（**杨心渝生日公演**）：杨心渝。 | bilibili_readlist_449360_md/096_SNH48 TeamSⅡ《Into The Light》公演大事年表（不完全统计，持续更新中）_cv41753026.md:385 [current;reference] 5月2日： / 宁轲生日公演。 / 本场今日之星：宁轲。 | bilibili_readlist_449360_md/008_SNH48 TeamSⅡ大事年表（2025年—2026年，不完全统计）_cv40176941.md:1021 [current;reference] 5月2日： / TeamSⅡ《Into The Light》宁轲生日公演。 / 5月3日： | bilibili_readlist_449366_md/047_SNH48 TeamSⅡ在团成员简单科普（持续更新中）_cv11795457.md:219 [reference_full;current;reference] 宁轲 / 宁轲（1999年5月2日生人，**出道时用的是艺名，本名叫龚韵佳**） / 出生地：四川达州，BEJ七期生；,bilibili_readlist_449360_md/378_SNH48 Group 2025年度获得今日之星（公演单场MVP）成员一览_cv41478208.md:59 6月15日（**田姝丽生日公演 & 作品展演**）：田姝丽。 / 6月27日（**陈雨孜、芦馨怡、宁轲作品展演**）：陈雨孜。 / 7月12日（**由淼生日公演 & 作品展演**）：由淼。 | bilibili_readlist_449360_md/095_SNH48 TeamSⅡ《幻镜》（含B版和C版）公演大事年表（不完全统计）_cv15017291.md:617 **3月30日：** / 宁轲生日公演。 / **4月4日：** | bilibili_readlist_449360_md/096_SNH48 TeamSⅡ《Into The Light》公演大事年表（不完全统计，持续更新中）_cv41753026.md:387 宁轲生日公演。 / 本场今日之星：宁轲。 / 5月10日： | bilibili_readlist_449360_md/104_SNH48 TeamNⅡ《应许之地》（含B版）公演大事年表（不完全统计）_cv24534734.md:239 《被你点亮的角落》柏欣妤生日公演。 / TeamSⅡ成员宁轲（代役）《应许之地》公演首演。 / **7月7日：** | bilibili_readlist_449360_md/007_SNH48 TeamSⅡ大事年表（2022年—2024年，不完全统计）_cv21355625.md:697 9月9日： / SNH48 专场生日会第3场（TeamSⅡ参与成员：沈小爱、闫明筠、宁轲）。 / 9月10日：,bilibili_readlist_449360_md/007_SNH48 TeamSⅡ大事年表（2022年—2024年，不完全统计）_cv21355625.md:173 [current;reference] 5月2日： / SNH48《中心打歌舞台》第4场（**本场朱涵佳、芦馨怡、沈小爱、赵天杨、段艺璇参赛，宁轲、邵雪聪是助威团评委**）。 / 5月4日： | bilibili_readlist_449366_md/047_SNH48 TeamSⅡ在团成员简单科普（持续更新中）_cv11795457.md:217 [reference_full;current;reference] ![](https://i0.hdslb.com/bfs/new_dyn/a31da6a38fcf5aade1c196ba106ed38d392751160.jpg) / 宁轲 / 宁轲（1999年5月2日生人，**出道时用的是艺名，本名叫龚韵佳**） | bilibili_readlist_449366_md/037_SNH48 Group成立至今各成员生日一览（4月份-6月份，持续更新中）_cv14439155.md:95 [current;reference] 5月1日：李尚颐（大李娜，E）、**夏莹**（GNZ预备生→CⅡ） / 5月2日：**宁轲**（B→SⅡ）**③**、**王嘉瑜**（HⅢ→E→CKG→IDOLS FT→C） / 5月3日：
insufficient_explicit_birthday_evidence,朱一柠,BEJ48十二期生,2000-11-20,2002-11-20,,existing_unreviewed_mismatch,,bilibili_readlist_449360_md/378_SNH48 Group 2025年度获得今日之星（公演单场MVP）成员一览_cv41478208.md:609 6月29日（**上海巡演**）：黄怡慈（兼任SⅡ）。 / 7月5日（**朱一柠生日公演**）：朱一柠。 / 7月6日（**吴睿莎、王祉依、包楹、金宛莹作品展演**）：吴睿莎。 | bilibili_readlist_449360_md/379_SNH48 Group 2026年度获得今日之星（公演单场MVP）成员一览_cv44354518.md:539 1月17日（**“玩转Unit”环节**）：黄宣绮（兼任G）。 / 1月25日（**“玩转Unit”环节**）：朱一柠。 / 2月1日（**金宛莹生日公演**）：金宛莹。 | bilibili_readlist_449360_md/026_BEJ48（第二次分队时期）大事年表（2025年—2026年，不完全统计）_cv40184582.md:373 7月5日： / TeamB《B·RISE 梦之门》朱一柠生日公演。 / TeamE《怦然心动》公演暨年度青春盛典第一阶段入围作品奖励展演【周湘、马欣宇、郑照暄（B）、朱虹蓉】。 | bilibili_readlist_449360_md/025_BEJ48（第二次分队时期）大事年表（2023年—2024年，不完全统计）_cv26581253.md:929 11月23日： / TeamB《B A Fighter》2.0 朱一柠生日公演。 / 11月24日： | bilibili_readlist_449360_md/025_BEJ48（第二次分队时期）大事年表（2023年—2024年，不完全统计）_cv26581253.md:941 11月30日： / TeamB成员（黄怡慈、黄宣绮、陈蓁蓁、吴睿莎、王祉依、张宸祎、朱一柠、张梦慧）受邀参加在北京市朝阳区北辰荟B1层举办的快闪活动。 / TeamE《双面偶像》2.0 孙嘉馥生日公演。,bilibili_readlist_449366_md/052_BEJ48 TeamB、TeamE以及预备生在团成员简单科普（持续更新中）_cv11812124.md:293 [current_full;current;reference] ![](http://i0.hdslb.com/bfs/new_dyn/a9b74b692c7df1ce1ab7de2fd0502d74392751160.jpg) / 朱一柠 / 朱一柠（2000年11月20日生人） | bilibili_readlist_449366_md/052_BEJ48 TeamB、TeamE以及预备生在团成员简单科普（持续更新中）_cv11812124.md:295 [current_full;current;reference] 朱一柠 / 朱一柠（2000年11月20日生人） / 昵称：檬檬、柠柠； | bilibili_readlist_449366_md/039_SNH48 Group成立至今各成员生日一览（10月份-12月份，持续更新中）_cv14452681.md:133 [current;reference] 11月19日：赵佳蕊（SⅢ→NⅡ）、曲晨语（X）、**张慈柔**（CGT预备生） / 11月20日：寇承希（HⅢ→IDOLS FT）、**朱一柠**（BEJ→B）、李嘉怡（SNH预备生） / 11月21日：林芝（GNZ预备生→G→Z→GNZ预备生→Z）
accepted_update_applied,杨宇馨,BEJ48四期生,2000-11-07,2000-11-07,,existing_unreviewed_mismatch,bilibili_readlist_449360_md/012_SNH48 TeamNⅡ大事年表（2025年—2026年，不完全统计）_cv40236084.md:603 [current;reference] 11月8日： / **TeamNⅡ兼任TeamX成员杨宇馨应援会饭头当晚就当天中午TeamX成员林佳怡的单推王相关言论作出回应（****见下图第4张****）。事件起因是11月7日是杨宇馨的生日而且她上当晚的《Fire X》公演，应援会早在10月官宣要拿下这场公演的今日之星作为送给杨宇馨的生日礼物（****见下图第1张****），但最终被林佳怡截胡导致场面一度尴尬。后来林佳怡及其单推王对此进行回应（****见下图第2张****），公演第二天中午林佳怡的单推王在微博再次回应（* | bilibili_readlist_449366_md/050_SNH48 TeamX在团成员简单科普（持续更新中）_cv11779598.md:487 [reference_full;current;reference] 杨宇馨 / 杨宇馨（2000年11月7日生人，身份证写的是1997年生人） / 出生地：河南焦作，BEJ四期生； | bilibili_readlist_449366_md/048_SNH48 TeamNⅡ在团成员简单科普（持续更新中）_cv11785068.md:363 [reference_full;current;reference] 杨宇馨 / 杨宇馨（2000年11月7日生人，身份证写的是1997年生人） / 出生地：河南焦作，BEJ四期生；,bilibili_readlist_449360_md/378_SNH48 Group 2025年度获得今日之星（公演单场MVP）成员一览_cv41478208.md:163 6月2日（**叶凡生日公演 & 作品展演**）：叶凡。 / 6月13日（**杨宇馨生日公演 & 作品展演**）：杨宇馨。 / 6月14日（**青钰雯生日公演**）：青钰雯。 | bilibili_readlist_449360_md/378_SNH48 Group 2025年度获得今日之星（公演单场MVP）成员一览_cv41478208.md:411 9月14日：王睿琦。 / 9月20日【**武博涵、杨宇馨（NⅡ兼任X）、禹佳蔚联合生日公演**】：禹佳蔚。 / 9月21日：杨冰怡。 | bilibili_readlist_449360_md/358_SNH48七期生至十六期生公演达成场次一览（不完全统计）_cv39986862.md:265 150场（TeamNⅡ时期）：20200725 SNH48 TeamNⅡ《轨迹》张怡生日+MVP定制公演&总选拉票； / 151场（TeamNⅡ时期）：20200802 SNH48 TeamNⅡ《时之卷》公演暨杨宇馨（IDOLS FT）、张茜、陆婷总选拉票。 / **（注：200场之后的达成场次资料暂缺）** | bilibili_readlist_449360_md/358_SNH48七期生至十六期生公演达成场次一览（不完全统计）_cv39986862.md:283 200场（TeamNⅡ时期）：20220909 SNH48 TeamNⅡ《羽化成蝶》公演； / 250场（TeamNⅡ时期）：20230527 SNH48 TeamNⅡ《羽化成蝶》公演暨张茜、张笑盈、刘洁、杨宇馨作品展演； / 300场（TeamNⅡ时期）：20240502 SNH48 TeamNⅡ《应许之地》卢天惠生日公演。 | bilibili_readlist_449360_md/379_SNH48 Group 2026年度获得今日之星（公演单场MVP）成员一览_cv44354518.md:193 7月12日（**叶凡生日公演**** & 作品展演**）：叶凡。 / 7月18日（**杨宇馨生日公演 & 作品展演**）：（待公布）。 / 7月19日（**钟亚男生日公演 & 作品展演**）：钟亚男。,bilibili_readlist_449366_md/050_SNH48 TeamX在团成员简单科普（持续更新中）_cv11779598.md:485 [reference_full;current;reference] ![](https://i0.hdslb.com/bfs/new_dyn/d76aa10d95dce2f3321b8e8de24b2ac4392751160.jpg) / 杨宇馨 / 杨宇馨（2000年11月7日生人，身份证写的是1997年生人） | bilibili_readlist_449366_md/039_SNH48 Group成立至今各成员生日一览（10月份-12月份，持续更新中）_cv14452681.md:107 [current;reference] 11月6日：任雨情（HⅢ） / 11月7日：**杨宇馨**（BEJ预备生→IDOLS FT→NⅡ→NⅡ兼任X）、李瑜璇（K→B）、刘娇（SⅢ）、刘娜（SⅢ） / 11月8日：李慧（SⅢ→IDOLS FT→CKG→SⅡ兼CKG→SⅡ）、曲美霖（BEJ预备生→B→BEJ）、郑依灵（B）、罗婕桢（CKG预备生→C）、**何诗雨**（CKG预备生） | bilibili_readlist_449366_md/048_SNH48 TeamNⅡ在团成员简单科普（持续更新中）_cv11785068.md:361 [reference_full;current;reference] ![](https://i0.hdslb.com/bfs/new_dyn/12fcf0cd5816128fda4cdc059c4c585a392751160.jpg) / 杨宇馨 / 杨宇馨（2000年11月7日生人，身份证写的是1997年生人）
insufficient_explicit_birthday_evidence,张韩紫陌,BEJ48一期生,2000-01-31,2000-01-13,,existing_unreviewed_mismatch,,bilibili_readlist_449360_md/145_BEJ48 TeamJ拼盘公演《因为喜欢你》大事年表（不完全统计）_cv16577630.md:107 3月31日： / 张韩紫陌生日公演。 / 任心怡100场公演达成。 | bilibili_readlist_449360_md/023_BEJ48（第一次分队时期）大事年表（不完全统计）_cv20640204.md:733 2月18日： / TeamJ《专属派对》张韩紫陌生日公演。 / TeamB成员（陈美君、段艺璇）、TeamE成员（李梓、苏杉杉）参与录制的《魅力音乐星聚会》节目在魅力音乐频道播出（共2期，第二期已于2月19日播出）。。 | bilibili_readlist_449360_md/023_BEJ48（第一次分队时期）大事年表（不完全统计）_cv20640204.md:1731 3月31日： / TeamJ《因为喜欢你》张韩紫陌生日公演。 / ### **4月份** | bilibili_readlist_449360_md/244_BEJ48（第一次分队时期）历年生日公演视频汇总（TeamJ篇）_cv19447717.md:27 ## **2017年：** / [20170218 BEJ48 TeamJ《专属派对》张韩紫陌生日公演](https://www.bilibili.com/video/BV1Ex411y753?share_source=copy_web&vd_source=f046264ddbe13426757c3bbec9cf75fe) / [20170416 BEJ48 TeamJ《专属派对》杨晔生日公演](https://www.bilibili.com/video/BV1Vx411D | bilibili_readlist_449360_md/244_BEJ48（第一次分队时期）历年生日公演视频汇总（TeamJ篇）_cv19447717.md:67 [20180107 BEJ48 TeamJ《因为喜欢你》刘一菲生日公演](https://www.bilibili.com/video/BV1AW411z7gy?share_source=copy_web&vd_source=f046264ddbe13426757c3bbec9cf75fe) / [20180331 BEJ48 TeamJ《因为喜欢你》张韩紫陌生日公演（任心怡100场公演达成）](https://www.bilibili.com/video/BV1DW411u,bilibili_readlist_449366_md/036_SNH48 Group成立至今各成员生日一览（1月份-3月份，持续更新中）_cv14439154.md:83 [current] 1月30日：曾艳芬（NⅡ）、杨肖（HⅢ）、张沁芝（CGT预备生）、**黄孟浠**（CKG预备生→C） / 1月31日：单习文（J）、张韩紫陌（J）、张瑜纹（SNH未分队）、**王紫萱**（GNZ预备生）、国嘉睿（BEJ预备生，因不明原因未能正式出道） / ～～～～～～～～～～～～～
insufficient_explicit_birthday_evidence,张咏琪,CGT48二期生,2006-03-30,2006-03-03,,existing_unreviewed_mismatch,,,bilibili_readlist_449366_md/036_SNH48 Group成立至今各成员生日一览（1月份-3月份，持续更新中）_cv14439154.md:219 [current] 3月29日：李星彦（X）、刘宇晴（SHY预备生→IDOLS FT）、**朱语凝**（BEJ预备生→B） / 3月30日：徐子轩（SⅡ）、李泓瑶（J→IDOLS FT）、张咏琪（GNZ预备生→CGT预备生） / 3月31日：**王佳琪**（BEJ预备生→B）
insufficient_explicit_birthday_evidence,耿钰嘉,CGT48四期生,2007-02-21,2008-02-21,,existing_unreviewed_mismatch,,,bilibili_readlist_449366_md/036_SNH48 Group成立至今各成员生日一览（1月份-3月份，持续更新中）_cv14439154.md:129 [current;reference] 2月20日：徐伊人（HⅡ→SⅡ）、楼澍（BEJ预备生→J）、戴紫薇（CKG预备生→K→CKG）、夏奕欣（SNH预备生）、**沈馨**（SNH预备生→NⅡ） / 2月21日：任蔓琳（BEJ预备生→E→BEJ）、王芊诺（原名王翠菲，Z→Z兼任CKG→NⅢ）、臧聪（SⅢ→E）、魏小燕（CKG预备生→K→CKG）、彭含灵（CKG）、**耿钰嘉**（CGT预备生） / 2月22日：樊曦月（K） | bilibili_readlist_449366_md/059_CGT48 TeamGⅡ以及预备生在团成员简单科普（持续更新中）_cv24110915.md:319 [current_full;current;reference] ![](http://i0.hdslb.com/bfs/new_dyn/0be01cc54c6955c2695831a79272b14a392751160.jpg) / 耿钰嘉（2007年2月21日生人） / 昵称：耿耿、小耿、嘉嘉；
insufficient_explicit_birthday_evidence,胡琪涵,CGT48四期生,2008-08-17,2009-08-17,,existing_unreviewed_mismatch,,,bilibili_readlist_449366_md/038_SNH48 Group成立至今各成员生日一览（7月份-9月份，持续更新中）_cv14439157.md:133 [current;reference] 8月16日：林嘉佩（XⅡ→G）、陈佳莹（G→GNZ预备生）、陈枳霏（E）、肖彦竹（SNH预备生→NⅡ）、程怡雯（CGT预备生） / 8月17日：**宋筱璐**（GNZ预备生→CⅡ）、胡琪涵（CGT预备生） / 8月18日：杜亚轩（J）、徐佳音（GNZ预备生→G→海外练习生→NⅢ）、赵翊民（Z→IDOLS FT）、章宇阳（K）、**朱瑞缘**（CKG→C→C兼任X）、**刘小涵**（SNH预备生→X）、李虞龙若（SNH预备生→HⅡ）**②**
insufficient_explicit_birthday_evidence,李怡淳,CGT48四期生,2004-05-06,2005-05-06,,existing_unreviewed_mismatch,,,bilibili_readlist_449366_md/037_SNH48 Group成立至今各成员生日一览（4月份-6月份，持续更新中）_cv14439155.md:103 [current;reference] 5月5日：龚诗淇（NⅡ）、黄恩茹（J→SⅡ）、孙珍妮（HⅡ） / 5月6日：王思奕（BEJ→E）、王禹诺**【**SNH预备生→HⅡ（预备升格）】**④**、李怡淳（CGT预备生） / 5月7日：钱蓓婷（SNH不分队→SⅡ→**荣誉毕业生**）、张睿婕（NⅡ）、谢金男（CKG）、赵思雨（CKG预备生）
