name,period,page_birthday,reference_birthday,reference_source,reference_page,reference_url,note
陈丽,SNH48一期生,1994-12-22,1995-12-22,AKB48 Wiki,Chen Li,https://akb48.fandom.com/wiki/Chen_Li,
蒋羽熙,SNH48一期生,1996-02-18,2000-02-18,AKB48 Wiki,Jiang YuXi,https://akb48.fandom.com/wiki/Jiang_YuXi,
孙歆文,SNH48四期生,1995-11-04,1994-11-04,AKB48 Wiki,Sun XinWen,https://akb48.fandom.com/wiki/Sun_XinWen,
张丹三,SNH48四期生,1995-09-15,1997-04-28,AKB48 Wiki,Zhang DanSan,https://akb48.fandom.com/wiki/Zhang_DanSan,官方接口也确认页面月日错误
高源婧,SNH48五期生,1999-07-06,1997-07-06,AKB48 Wiki,Gao YuanJing,https://akb48.fandom.com/wiki/Gao_YuanJing,
钱艺,SNH48六期生,1998-06-07,1999-06-07,AKB48 Wiki,Qian Yi,https://akb48.fandom.com/wiki/Qian_Yi,
成珏,SNH48六期生,1997-01-03,1996-01-03,AKB48 Wiki,Cheng Jue,https://akb48.fandom.com/wiki/Cheng_Jue,
黄彤扬,SNH48六期生,1998-01-28,1996-01-28,AKB48 Wiki,Huang TongYang,https://akb48.fandom.com/wiki/Huang_TongYang,
冯思佳,SNH48六期生,1999-01-03,1998-01-03,AKB48 Wiki,Feng SiJia,https://akb48.fandom.com/wiki/Feng_SiJia,
李媛媛,SNH48六期生,1995-04-20,1994-07-01,AKB48 Wiki,Li YuanYuan,https://akb48.fandom.com/wiki/Li_YuanYuan,官方接口也确认页面月日错误
张韩紫陌,BEJ48一期生,2000-01-31,2000-01-13,AKB48 Wiki,Zhang HanZiMo,https://akb48.fandom.com/wiki/Zhang_HanZiMo,
陈逸菲,BEJ48一期生,1994-06-18,1996-06-18,AKB48 Wiki,Chen YiFei,https://akb48.fandom.com/wiki/Chen_YiFei,
任心怡,BEJ48一期生,1996-10-18,1997-10-18,AKB48 Wiki,Ren XinYi,https://akb48.fandom.com/wiki/Ren_XinYi,
刘瀛,SNH48七期生,1998-02-08,1999-02-08,AKB48 Wiki,Liu Ying,https://akb48.fandom.com/wiki/Liu_Ying,
赵翊民,GNZ48一期生,1997-08-18,1999-08-18,AKB48 Wiki,Zhao YiMin,https://akb48.fandom.com/wiki/Zhao_YiMin,
赵佳蕊,SHY48一期生,2000-11-19,2001-11-19,AKB48 Wiki,Zhao JiaRui,https://akb48.fandom.com/wiki/Zhao_JiaRui,
张爱静,SHY48一期生,1996-08-03,1997-08-03,AKB48 Wiki,Zhang AiJing,https://akb48.fandom.com/wiki/Zhang_AiJing,
张幼柠,SHY48一期生,2001-10-27,1997-10-27,AKB48 Wiki,Zhang YouNing,https://akb48.fandom.com/wiki/Zhang_YouNing,
兰昊,BEJ48二期生,1996-02-27,1996-11-27,AKB48 Wiki,Lan Hao,https://akb48.fandom.com/wiki/Lan_Hao,
程一心,GNZ48二期生,1996-06-19,1998-01-24,AKB48 Wiki,Cheng YiXin,https://akb48.fandom.com/wiki/Cheng_YiXin,你指出的样例；官方/公开资料确认页面月日错误
王菲妍,SHY48二期生,1999-01-27,2000-01-27,AKB48 Wiki,Wang FeiYan,https://akb48.fandom.com/wiki/Wang_FeiYan,
刘弋菡,CKG48一期生,2001-05-21,1999-05-21,AKB48 Wiki,Liu YiHan (CKG48),https://akb48.fandom.com/wiki/Liu_YiHan_(CKG48),
雷宇霄,CKG48一期生,2001-11-03,2002-11-03,AKB48 Wiki,Lei YuXiao,https://akb48.fandom.com/wiki/Lei_YuXiao,
王娱博,CKG48一期生,1998-07-10,1999-07-10,AKB48 Wiki,Wang YuBo,https://akb48.fandom.com/wiki/Wang_YuBo,
李美琪,SNH48九期生,2001-05-29,2000-05-29,AKB48 Wiki,Li MeiQi,https://akb48.fandom.com/wiki/Li_MeiQi,
黄嘉怡,SHY48三期生,2002-04-05,2001-04-05,AKB48 Wiki,Huang JiaYi,https://akb48.fandom.com/wiki/Huang_JiaYi,
魏小燕,CKG48二期生,1999-02-21,1997-02-21,AKB48 Wiki,Wei XiaoYan,https://akb48.fandom.com/wiki/Wei_XiaoYan,
杨宇馨,BEJ48四期生,1998-11-07,2000-11-07,AKB48 Wiki,Yang YuXin,https://akb48.fandom.com/wiki/Yang_YuXin,
曲美霖,BEJ48四期生,1996-11-18,1996-11-08,AKB48 Wiki,Qu MeiLin,https://akb48.fandom.com/wiki/Qu_MeiLin,官方接口也确认页面月日错误
曹露丹,CKG48三期生,1998-05-23,2003-05-23,AKB48 Wiki,Cao LuDan,https://akb48.fandom.com/wiki/Cao_LuDan,
宁轲,BEJ48七期生,2000-05-02,1999-05-02,AKB48 Wiki,Ning Ke,https://akb48.fandom.com/wiki/Ning_Ke,
余芸萱,CKG48四期生,2000-09-04,2002-02-08,AKB48 Wiki,Yu YunXuan,https://akb48.fandom.com/wiki/Yu_YunXuan,
李星彦,SNH48十四期生,2000-03-29,2001-03-29,AKB48 Wiki,Li XingYan,https://akb48.fandom.com/wiki/Li_XingYan,
陈蓁蓁,BEJ48九期生,2000-05-12,2000-05-20,AKB48 Wiki,Chen ZhenZhen,https://akb48.fandom.com/wiki/Chen_ZhenZhen,官方接口也确认页面月日错误
张宸祎,BEJ48九期生,1999-01-05,1998-01-05,AKB48 Wiki,Zhang ChenYi,https://akb48.fandom.com/wiki/Zhang_ChenYi,
江雨航,GNZ48九期生,1998-06-06,2000-06-06,AKB48 Wiki,Jiang YuHang,https://akb48.fandom.com/wiki/Jiang_YuHang,
林佳怡,SNH48十五期生,2001-01-13,2000-01-13,AKB48 Wiki,Lin JiaYi,https://akb48.fandom.com/wiki/Lin_JiaYi,
